10×11 DataFrame
 Row │ reserve_id  hotel_id  customer_id  reserve_datetime     checkin_date  checkin_time  checkout_date  people_num  total_price  reserve_date  reserve_time
     │ String7     String7   String7      Dates.DateTime       Dates.Date    Dates.Time    Dates.Date     Int64       Int64        Dates.Date    Dates.Time
─────┼────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
   1 │ r1          h_75      c_1          2016-03-06T13:09:42  2016-03-26    10:00:00      2016-03-29              4        97200  2016-03-06    13:09:42
   2 │ r2          h_219     c_1          2016-07-16T23:39:55  2016-07-20    11:30:00      2016-07-21              2        20600  2016-07-16    23:39:55
   3 │ r3          h_179     c_1          2016-09-24T10:03:17  2016-10-19    09:00:00      2016-10-22              2        33600  2016-09-24    10:03:17
   4 │ r4          h_214     c_1          2017-03-08T03:20:10  2017-03-29    11:00:00      2017-03-30              4       194400  2017-03-08    03:20:10
   5 │ r5          h_16      c_1          2017-09-05T19:50:37  2017-09-22    10:30:00      2017-09-23              3        68100  2017-09-05    19:50:37
   6 │ r6          h_241     c_1          2017-11-27T18:47:05  2017-12-04    12:00:00      2017-12-06              3        36000  2017-11-27    18:47:05
   7 │ r7          h_256     c_1          2017-12-29T10:38:36  2018-01-25    10:30:00      2018-01-28              1       103500  2017-12-29    10:38:36
   8 │ r8          h_241     c_1          2018-05-26T08:42:51  2018-06-08    10:00:00      2018-06-09              1         6000  2018-05-26    08:42:51
   9 │ r9          h_217     c_2          2016-03-05T13:31:06  2016-03-25    09:30:00      2016-03-27              3        68400  2016-03-05    13:31:06
  10 │ r10         h_240     c_2          2016-06-25T09:12:22  2016-07-14    11:00:00      2016-07-17              4       320400  2016-06-25    09:12:22
