15×4 DataFrame
 Row │ customer_id  reserve_datetime     total_price  total_price_90d
     │ String7      Dates.DateTime       Int64        Int64
─────┼────────────────────────────────────────────────────────────────
   1 │ c_1          2016-03-06T13:09:42        97200                0
   2 │ c_1          2016-07-16T23:39:55        20600                0
   3 │ c_1          2016-09-24T10:03:17        33600            20600
   4 │ c_1          2017-03-08T03:20:10       194400                0
   5 │ c_1          2017-09-05T19:50:37        68100                0
   6 │ c_1          2017-11-27T18:47:05        36000            68100
   7 │ c_1          2017-12-29T10:38:36       103500            36000
   8 │ c_1          2018-05-26T08:42:51         6000                0
   9 │ c_2          2016-03-05T13:31:06        68400                0
  10 │ c_2          2016-06-25T09:12:22       320400                0
  11 │ c_2          2016-11-19T12:49:10        29700                0
  12 │ c_2          2017-05-24T10:06:21        81600                0
  13 │ c_2          2017-10-19T03:03:30       137000                0
  14 │ c_2          2018-02-18T05:12:58        75600                0
  15 │ c_2          2018-04-19T11:25:00        68800            75600
