10×5 DataFrame
 Row │ customer_id  1      2      3      4
     │ String7      Int64  Int64  Int64  Int64
─────┼─────────────────────────────────────────
   1 │ c_1              2      2      2      2
   2 │ c_2              2      2      1      3
   3 │ c_3              2      2      2      2
   4 │ c_4              3      2      0      3
   5 │ c_5              2      0      0      2
   6 │ c_6              0      0      1      1
   7 │ c_7              2      3      2      0
   8 │ c_8              2      0      4      2
   9 │ c_9              0      3      1      1
  10 │ c_10             0      2      2      2
